code,project,site,state,country,lat,long,comments
RICC05,Recharge in a Changing Climate,Dandaragan,Western Australia,Australia,-30.618,115.729,Dandaragan pasture site: We are interested in studying this location due to its lower rainfall compared to other sites.
RICC06,Recharge in a Changing Climate,Myalup,Western Australia,Australia,-33.009,115.731,Myalup features a paired site setup comprising a pasture and an irrigated site. We are investigating the alterations in the system resulting from irrigation.
SOUG01,"Shades of urban greening: Understanding the social, design and environmental impacts of plant foliage colour in hot cities",Perth Region,Western Australia,Australia,-31.809,115.947,To improve our understanding of how to incorporate arid adapted plants in urban greening within climate stressed cities to ensure ecologically and socially sustainable outcomes.
TERN01,TERN-WA Project,Great Western Woodlands ,Western Australia,Australia,-32.304,121.778,"Great Western Woodlands SuperSite is on Credo Station, a former pastoral property in Western Australia’s Goldfields region, near Kalgoorlie, Western Australia. The site lies in the internationally significant Great Western Woodlands region, which covers 16 million hectares in south-west Western Australia and is the largest remaining intact temperate or ‘Mediterranean’ woodland in the world. Native title claims of traditional ownership at this site have been registered by the Marlinyu Ghoorlie and Maduwongga Peoples."
TERN02,TERN-WA Project,Boyagin,Western Australia,Australia,-32.473,116.874,"TERN’s Boyagin Wandoo Woodland SuperSite is located in remnant Eucalyptus wandoo woodland within the Boyagin Rock Nature Reserve, about 175 km southeast of Perth, Western Australia (WA). Monitoring of the Wandoo woodland ecosystem is paired with a nearby managed ecosystem located at the University of Western Australia (UWA) Ridgefield Future Farm that’s used for wheat and canola cropping and sheep grazing."
TERN03,TERN-WA Project,Gingin,Western Australia,Australia,-31.348,115.907,"TERN’s Gingin Banksia Woodland SuperSite is on the Swan Coastal Plain, approximately 10 km southwest of Gingin and 80km north of Perth, Western Australia. The site sits in a natural woodland of high species diversity (overstorey dominated by Banksia spp) that overlays the Gnangara groundwater mound, Perth’s most important groundwater resource. The site is 2 km from the University of Western Australia International Gravity Wave Observatory. The traditional owners at Gingin are the Yued group of the Noongar People."
TERN04,TERN-WA Project,UWA Farm,Western Australia,Australia,-32.471,117.114,Monitoring of the Wandoo woodland ecosystem is paired with a nearby managed ecosystem located at the University of Western Australia (UWA) Ridgefield Future Farm that’s used for wheat and canola cropping and sheep grazing.
WSDS01,WaterSmart Dams – Making Dams Work Again,Darkan,Western Australia,Australia,-33.317,116.735,"Project aims to develop knowledge and water planning tools for farmers who need their dams to work in all years, and be able to make water investment decisions with confidence."
WSDS02,WaterSmart Dams – Making Dams Work Again,Kojonup,Western Australia,Australia,-33.835,117.167,NA
WSDS03,WaterSmart Dams – Making Dams Work Again,Merredin,Western Australia,Australia,-31.480,118.281,NA
WSDS04,WaterSmart Dams – Making Dams Work Again,Jerramungup,Western Australia,Australia,-33.939,119.029,NA
